friddjavuođareive	1. frihetsbrev;  
servodatfága	1. samfunnsfag;  
luonddufága	1. naturfag;  
lága	1. lov;  
válgalága	1. valglov;  
alkoholalága	1. alkohollov;  
plánalága	1. planlov;  
arkipelága	1. arkipelag;  
bilága	1. billov;  
nuoskkidanlága	1. forurensningslov;  
bággočađahanlága	1. tvangsgjenomføringslov;  
luonddusuodjalanlága	1. naturvernslov;  
biebmanlága	1. ernæringslov;  
mielladearvvašvuođadikšunlága	1. psykisk helsepleielov;  
rehketdoallolága	1. regnskapslov;  
duottarlága	1. fjellov;  
stoaguslága	1. lekelov;  
hálddahuslága	1. forvaltningsslov;  
rávesolbmuidoahpahuslága	1. voksenopplæringslov;  
mohtorjohtaluslága	1. motorferdselslov;  
guolástuslága	1. fiskerilov;  
ráŋggáštuslága	1. straffelov;  
cázádatlága	1. vassdragslov;  
šlága	1. slag;  
kardaŋga	1. kardang;  
geaŋga	1. sky rein;  
jeaŋga	1. gjenge;  
duolbajeaŋga	1. rett gjenge;  
fiidnajeaŋga	1. fingjenge;  
trapesajeaŋga	1. trapesgjenge;  
bohccejeaŋga	1. rørgjenge;  
njealječiegatjeaŋga	1. firkantgjenge;  
dumájeaŋga	1. tommegjenge;  
leaŋga	1. seletøysbogtre;  
šleađga	1. strøm;  2. elektrisitet;  
poeaŋga	1. poeng;  
sreaŋga	1. streng;  
biikasreaŋga	1. piggtråd;  
áhcagassreaŋga	1. glødetråd;  
streaŋga	1. streng;  
biikastreaŋga	1. piggtråd;  
baseaŋga	1. basseng;  
vuojadanbaseaŋga	1. svømmebasseng;  
buohcanseaŋga	1. sykeseng;  
jápminseaŋga	1. dødsseng;  
čuožžunseaŋga	1. ståseng;  
basseaŋga	1. basseng;  
náittosseaŋga	1. brudeseng;  
mánnáseaŋga	1. barneseng;  
veaŋga	1. veng;  2. akterkahytt;  
roaŋga	1. ??;  
ovdaroaŋga	1. båtspante i framskott;  
maŋŋeroaŋga	1. båtspante i akterskottet;  
poeŋga	1. poeng;  
lášmmohallanbasseŋga	1. treningsbasseng;  
atnudiŋga	1. bruksting;  
festniŋga	1. festning;  
riŋga	1. ring;  
gávriŋga	1. kavring;  
swiŋga	1. swing;  
šárgoŋga	1. sjargong;  
pinjoŋga	1. pinjong;  
balkoŋga	1. balkong;  
betoŋga	1. betong;  
asfáltabetoŋga	1. asfaltbetong;  
diftoŋga	1. diftong;  
monoftoŋga	1. monoftong;  
kartoŋga	1. kartong;  
buođga	1. svange;  2. lysning;  
šluoŋga	1. glassmanet;  
stuŋga	1. tauspleis;  2. skjøt;  
áđga	1. gresslette;  2. gressbevokst strandflate overfor flomålet;  
gáŋga	1. gang;  
ruovdegáŋga	1. spett;  
stállegáŋga	1. stallgang;  
spáŋga	1. bandjern;  
sráŋga	1. streng;  
biikasráŋga	1. piggtråd;  
fadnistráŋga	1. bølgetråd;  
stáŋga	1. stang;  
pakeha	1. pakeha;  
burkha	1. burka;  2. burka;  
media	1. media;  
tabloida-media	1. tabloid-media;  
multimedia	1. multimedia;  
komedia	1. komedie;  
áibmomedia	1. kringkasting;  
kompendia	1. kompendium;  
klamydia	1. klamydia;  
folia	1. folie;  
ironia	1. ironi;  
planetaria	1. planetarium;  
meieria	1. meieri;  
kriteria	1. kriterium;  
teoria	1. teori;  
ráŋggáštanriekteteoria	1. strafferettsteori;  
kaloria	1. kalori;  
laboratoria	1. laboratoriet;  
auditoria	1. auditorium;  
territoria	1. territorium;  
ária	1. arie;  
poesia	1. poesi;  
symposia	1. symposium;  
kassia	1. kassia;  
homeopáhtia	1. homeopati;  
kollokvia	1. kollokvium;  
álggahankollokvia	1. begynnerkollokvium;  
sálvia	1. salvie;  
veaja	1. balansering;  2. likevekt;  
gadja	1. larm;  2. skrål;  3. støy;  
skadja	1. skjå;  2. naust;  
meaddja	1. nøkkelskjegg;  
njiedja	1. synkende;  2. fallende;  
riedja	1. skrål;  2. bråk;  3. høyrøystet snakk;  
sidja	1. materie;  2. verk i byll, sår eller legemsdel;  3. væske;  4. søvn i øye;  
máđidja	1. vei;  2. fast løype;  
bievlamáđidja	1. barmarksvei;  
heastamáđidja	1. hestevei;  
ruovdemáđidja	1. jernbanespor;  
dálvemáđidja	1. vintervei;  
mohtorgielkámáđidja	1. motorferdselsvei;  
guodja	1. starrgresstilk;  
muorraguodja	1. nordlandsstarr;  
miektaguodja	1. starrstilk;  
vuoktaguodja	1. stivt hårstrå;  
ruovdeguodja	1. stivstarr;  
rievdneguodja	1. blåstarr;  
upmolguodja	1. gråstarr;  
ruodja	1. høyrøstet snakk;  
gusavuodja	1. smør;  
guolevuodja	1. fiskeleverolje, tran;  
oažževuodja	1. kjøttfett;  
šaddovuodja	1. plantefett;  
biergovuodja	1. kjøttfett;  
gádja	1. ekko;  
guohcahádja	1. stank;  2. råttenstank;  
seavddahádja	1. stank;  
čuvddahádja	1. brunstlukt;  2. brunststank;  3. stank;  
buovnnjahádja	1. svilukt;  
luvnnjahádja	1. lukt som av klær som har vært lenge fuktig og/eller
        våte;  
gálbmahádja	1. liklukt;  
váidnahádja	1. liklukt;  
gáldnahádja	1. liklukt;  
guonnahádja	1. urinlukt;  2. urinstank;  
kuonnahádja	1. urinlukt;  
civnnahádja	1. svidd lukt;  
moskkuhádja	1. innelukket kvalm lukt;  
prog.šládja	1. prog.slag;  2. prog.sort;  3. prog.art;  
luoddašládja	1. vegkategori;  
latnjašládja	1. romtype;  
prográmmašládja	1. programslag;  2. programsort;  3. programart;  
eanašládja	1. jordsort;  
muorrašládja	1. tresort;  
dáktašládja	1. beinsort;  2. bensort;  
asfáltašládja	1. asfalttype;  
nuohttašládja	1. toneart;  
muorješládja	1. tresort;  
guollešládja	1. fiskeart;  
gordnešládja	1. kornsort;  
báktešládja	1. steinart;  
eananšládja	1. jordart;  
njuorjošládja	1. selart;  
biebmošládja	1. matsort;  
fuođaršládja	1. fórsort;  
gáfeja	1. kafé;  
reaidadoarjja	1. kontantstøtte;  
foandadoarjja	1. fondstøtte;  
doaibmadoarjja	1. driftsstøtte;  
rámmadoarjja	1. rammestøtte;  
loahppadoarjja	1. avslutningsstøtte;  
sierradoarjja	1. særstønad;  
preassadoarjja	1. pressetøtte;  
ruhtadoarjja	1. pengestønad;  
stáhtadoarjja	1. statsstøtte;  
prošeaktadoarjja	1. prosjektstønad;  
boarisvuođadoarjja	1. alderdomsstønad;  
guovttegielalašvuođadoarjja	1. tospråklighetsstøtte;  
buohccedoarjja	1. sykepenger;  
haddedoarjja	1. prisstønad;  
mánáidgárdedoarjja	1. barnehagestønad;  
liigedoarjja	1. tilleggsstønad;  
duodjedoarjja	1. håndtverksstønad;  
veahkkedoarjja	1. hjelpestøtte;  
mátkedoarjja	1. reisetilskudd;  
heahtedoarjja	1. krisehjelp;  
lassidoarjja	1. tilleggstønad;  
maŋildoarjja	1. dybdestøtte;  
festiváldoarjja	1. festivalstønad;  
buvttadandoarjja	1. produksjonsstøtte;  
fievrredandoarjja	1. flyttestønad;  
ovddidandoarjja	1. utviklingsstønad;  
hávdádandoarjja	1. begravningsstønad;  
barguimáhcahandoarjja	1. attføringsstønad;  
álggahandoarjja	1. oppstartsmidler;  
fuolahandoarjja	1. omsorgsstønad;  
ásahandoarjja	1. bostønad;  
jođihandoarjja	1. flyttestønad;  
ássandoarjja	1. bostøtte;  
birgendoarjja	1. underholdsbidrag;  
investerendoarjja	1. investeringsstønad;  
bajásgeassindoarjja	1. oppfostringsbidrag;  
mánnádikšundoarjja	1. barnepasstønad;  
oahppodoarjja	1. utdanningsstønad;  
buvttadanvuoitodoarjja	1. produksjonsoverskuddsstønad;  
vuođđodoarjja	1. grunnstøtte;  
kulturdoarjja	1. kulturstønad;  
lágádusdoarjja	1. forlagsstønad;  
girjelágádusdoarjja	1. bokforlagsstønad;  
oahpahusdoarjja	1. utdanningstønad;  
ealáhusdoarjja	1. driftsenhetsstøtte;  
lotnolasealáhusdoarjja	1. kombinasjonsdriftsstøtte;  
orohatdoarjja	1. driftsstøtte;  
bargoárjja	1. arbeidseffektivitet;  
tullja	1. tull;  
medállja	1. medalje;  
silbamedállja	1. sølvmedalje;  
bronsamedállja	1. bronsemedalje;  
gollemedállja	1. gullmedalje;  
nállja	1. knallperle;  
knállja	1. knall;  2. knallhette;  3. fenghette;  
skuolja	1. støtfanger;  2. buffer;  
pulja	1. pulje;  
medálja	1. medalje;  
válja	1. valg;  
lanja	1. lanja;  
šlienja	1. glans;  2. skimmer;  
ladjošlienja	1. blyglans;  
kampánnja	1. kampanje;  
ovdalatnja	1. forrom;  
válgalatnja	1. valglokale;  
luonddufágalatnja	1. naturfagsal;  
seaŋgalatnja	1. sengerom;  
oktaseaŋgalatnja	1. enerom;  
medialatnja	1. mediatek;  
klinihkkalatnja	1. klinikkrom;  
musihkkalatnja	1. musikkrom;  
dulkalatnja	1. tolkeavlukke;  
njuoskalatnja	1. våtrom;  
hoteallalatnja	1. hotellrom;  
doaibmalatnja	1. aktivitetsrom;  
galbmalatnja	1. fryserom;  
obdukšuvdnalatnja	1. obduksjonsrom;  
báinnalatnja	1. malingsrom;  
cuohppalatnja	1. mellomrom;  
gielddastivralatnja	1. kommunestyresal;  
konferánsalatnja	1. konferanserom;  
laktalatnja	1. sammenføyning;  
vintalatnja	1. heisrom;  
buhtisvuođalatnja	1. sanitærrom;  
bargiidlatnja	1. personalrom;  
oahpaheddjiidlatnja	1. lærerrom;  
oahppiidlatnja	1. lærerrom;  
ohppiidlatnja	1. elevrom;  
lávdegoddelatnja	1. komitérom;  
girjelatnja	1. leserom;  
jahkelatnja	1. årring;  
guosselatnja	1. gjesterom;  
riektelatnja	1. rettsal;  
báktelatnja	1. fjellrevne;  
beaivelatnja	1. dagligstue, stue;  
duppallatnja	1. dobbeltrom;  
eaŋkillatnja	1. enkeltrom;  
šaddadanlatnja	1. vekstrom;  
iskkadanlatnja	1. undersøkelsesrom;  
boradanlatnja	1. lunsjrom;  
duhkoraddanlatnja	1. lekerom;  
čoaskudanlatnja	1. kjølerom;  
golggahanlatnja	1. tapperom;  
njamahanlatnja	1. ammerom;  
oahpahanlatnja	1. undervisningsrom;  
čiŋahanlatnja	1. pynterom;  
galmmihanlatnja	1. fryserom;  
borgguhanlatnja	1. røykerom;  
lohkanlatnja	1. lesesal;  
čohkohallanlatnja	1. stue;  
lášmmohallanlatnja	1. gymnastikksal;  
širanlatnja	1. dusjrom;  
borranlatnja	1. spisestue;  2. spiserom;  
bassanlatnja	1. vaskerom;  
vuoiŋŋastanlatnja	1. hvilerom;  
dárkkistanlatnja	1. granskingsrom;  
liggenlatnja	1. fyrrom;  
røntgenlatnja	1. røntgenrom;  
máŋgenlatnja	1. kopieringsrom;  
snihkkenlatnja	1. snekkerrom;  
šáltenlatnja	1. sjalterom;  
govvenlatnja	1. fotorom;  
mášenlatnja	1. maskinrom;  
doidinlatnja	1. skyllerom;  
vuordinlatnja	1. venterom;  
diehtojuohkinlatnja	1. nyhetsformidlingsrom;  
čoahkkinlatnja	1. møtelokale, møterom;  
čállinlatnja	1. skrivestue;  
riegádahttinlatnja	1. fødestue;  
mášinlatnja	1. maskinrom;  
dárkonlatnja	1. observasjonsrom;  
goarrunlatnja	1. sømsal;  
dikšunlatnja	1. behandlingsrom;  
hávvedikšunlatnja	1. skiftestue;  
boddolatnja	1. pauserom;  
láigolatnja	1. hybel;  
bargolatnja	1. arbeidsrom;  
rádjolatnja	1. radiorom;  
joavkolatnja	1. grupperom;  
áibmolatnja	1. luftrom;  
ovttaolbmolatnja	1. enerom;  
guovtteolbmolatnja	1. dobbeltrom;  
riepmolatnja	1. festsal;  
báddeskearrolatnja	1. tauskiverom;  
vuorrolatnja	1. vaktrom;  
oktolatnja	1. enerom;  
riššolatnja	1. dusjrom;  
doapparlatnja	1. avfallsrom;  
báhtterlatnja	1. batterirom;  
kántorlatnja	1. kontorrom;  
kánturlatnja	1. kontor;  
seminárlatnja	1. seminarrom;  
sanitárlatnja	1. sanitærrom;  
čuomaslatnja	1. mellomrom mellom skjell på fisk;  
ávnnaslatnja	1. materialrom;  
sevdnjeslatnja	1. mørkerom;  
oahpahuslatnja	1. undervisningsrom;  
báhtaruslatnja	1. tilfluktsrom;  
dárkkástuslatnja	1. kontrollrom;  
liggehatlatnja	1. fyrrom;  
riššulatnja	1. dusjrom;  
jietnasatnja	1. stemmeskifte;  
veaikešlietnja	1. kopperglans;  
suotnja	1. radius;  2. stråle;  
skátnja	1. gjenlyd;  2. ekko;  3. skarp lyd;  4. skingrende stemme;  
spátnja	1. spann;  2. blikkspann;  
sátnja	1. gammelt utslitt fiskegarn;  2. gammel garnfille;  3. svært slitt klesplagg;  4. garn eller not uten tau i overkanten av fiskegarn;  
bivttassátnja	1. gammelt slitt klesplagg;  
kampánja	1. kampanje;  
birasgáhttenkampánja	1. naturvernskampanje;  
diehtojuohkinkampánja	1. nyhetsformidlingskampanje;  
lasánja	1. lasagne;  
buoja	1. boble;  
fearja	1. ferge;  
gárja	1. kråke;  
bivdoárja	1. fangstintensitet;  
bargoárja	1. arbeidsinnsats;  
veadjoárja	1. potensiell energi;  
obdukšuvdnalantja	1. obduksjonsstue;  
lieđđegavja	1. pollen;  2. blomsterstøv;  
šaddogavja	1. pollen;  
givja	1. hank;  2. håndtak;  
rivja	1. trespile på teltdøren som døren er opphengt etter;  2. tverrstokk på gammeldags vevstol;  3. øverste garnflå på fiskegarn;  4. notflå på fiskenot;  
bealleuvja	1. halvdun;  
suvja	1. sule;  
čáhceája	1. vannåre;  2. vannsik;  3. liten bekk;  
kája	1. kai;  
geaidnočája	1. veiskilt;  2. veiviser;  
hirsareahka	1. tømmerslede;  
ruovdereahka	1. jernslede;  
heargereahka	1. reinslede;  
geađgereahka	1. steinslede;  
goahtereahka	1. slede med telt;  
lihttereahka	1. vassmei;  2. slede for å føre kjørler;  3. slede for å kjøre vann;  
vuodjenreahka	1. kjøreslede;  
ráidoreahka	1. raideslede;  
bargoreahka	1. jobbslede;  
muohtaskohterreahka	1. snøscootertilhenger;  
risláreahka	1. personslede;  
kinemateahka	1. kinematek;  
medieteahka	1. medietek;  
pinakoteahka	1. pinakotek;  
hypoteahka	1. hypotek;  
glyptoteahka	1. glyptotek;  
kartoteahka	1. kartotek;  
soahteveahka	1. streifkorps;  
mearrasoahteveahka	1. leidang;  
buollinveahka	1. brannmannskap;  
bargoveahka	1. arbeidsstyrke;  
neavttárveahka	1. rollebesetning;  
fanasveahka	1. mannskap;  
hoahka	1. gjentakelse;  2. ymting;  3. stadig uttalt hensikt om å ville gjøre noe;  
duolbačiehka	1. stump vinkel;  
jorbačiehka	1. full vinkel;  
orustangrádačiehka	1. parkeringsvinkel;  
gilgačiehka	1. flankevinkel;  
máŋgačiehka	1. mangekant;  
gaskačiehka	1. frivinkel;  
geahčegaskačiehka	1. endeklaringsvinkel;  
golbmačiehka	1. trekant;  
njuolggogolbmačiehka	1. rett trekant;  
birračiehka	1. rundvinkel;  
ruossačiehka	1. korsvinkel;  
supplemeantačiehka	1. supplemeringsvinkel;  
eksplemeantačiehka	1. eksplementvinkel;  
vihttačiehka	1. femkant;  
soadječiehka	1. vingekant;  
njeallječiehka	1. firkant;  
guoibmečiehka	1. nabovinkel;  
njálbmečiehka	1. munnvik;  
skuhčečiehka	1. parallellogram;  
smilčečiehka	1. hellingsvinkel;  
skužilčiehka	1. skjevvinklet;  2. skeivvinklet;  
vuoššančiehka	1. te-kjøkken;  
gierdočiehka	1. periferivinkel;  
njuolggočiehka	1. rett vinkel;  
ávjočiehka	1. eggvinkel;  
leappočiehka	1. stump vinkel;  
vuolahasčiehka	1. sponvinkel;  
bálddalasčiehka	1. nabovinkel;  
vuostálasčiehka	1. motvinkel;  
ollesčiehka	1. helvinkel;  
finjučiehka	1. skjev vinkel, skeiv vinkel;  
vinjučiehka	1. skrått hjørne, skrå vinkel;  
čuohppanávjučiehka	1. innstillingsvinkel;  
mediatehka	1. mediatek;  
apotehka	1. apotek;  
kartotehka	1. kartotek;  
rádjokartotehka	1. lagerkartotek;  
ceakkokartotehka	1. vertikalt kartotek;  
gálvokartotehka	1. varekartotek;  
rájuskartotehka	1. bibliotekkartotek;  
láskutkartotehka	1. horisontalt kartotek;  
rohka	1. rug;  
háhka	1. uer;  
luoddaláhka	1. vegloven;  
gieldaláhka	1. kommunelov;  
válgaláhka	1. valglov;  
giellaláhka	1. språklov;  
alkoholaláhka	1. alkohollov;  
alkohovlaláhka	1. alkohollov;  
joatkkaskuvlaláhka	1. videregåendeskolelov;  
álbmotallaskuvlaláhka	1. folkehøgskoleloven;  
vuođđoskuvlaláhka	1. grunnskoleloven;  
kriminálaláhka	1. kriminallov;  
minerálaláhka	1. minerallov;  
čorbmaláhka	1. neverett;  
nammaláhka	1. navneloven;  
báikenammaláhka	1. stedsnavnlov;  
eanaláhka	1. jordlov;  
háhkankonsešuvdnaláhka	1. ervervskonsesjonslov;  
sierraláhka	1. egenlov;  
árvvoštallanproseassaláhka	1. skjønnsprosesslov;  
luossaláhka	1. lakselov;  
pateantaláhka	1. patentlov;  
servituhttaláhka	1. servituttlov;  
arkiivaláhka	1. arkivloven;  
divššohasvuoigatvuođaláhka	1. pasientrettighetsloven;  
olmmošvuoigatvuođaláhka	1. menneskerettighetsloven;  
almmolašvuođaláhka	1. offentlighetsloven;  
dearvvašvuođaláhka	1. helseloven;  
bargodearvvašvuođaláhka	1. arbeidshelseloven;  
heaggadieđuidláhka	1. personopplysningsloven;  
mánáidláhka	1. barneloven;  
árbeláhka	1. arvelov;  
truvdnoárbeláhka	1. tronfølgeloven;  
mánáidgárdeláhka	1. barnehageloven;  
vuovdeláhka	1. salgslov;  
gáhtanáigeláhka	1. angrefristloven;  
suorgeláhka	1. sektorlovgivning;  
vuoigŋaduodjeláhka	1. åndsverkloven;  
riekteveahkkeláhka	1. rettshjelpslov;  
sámeláhka	1. sameloven;  
várreláhka	1. fjelloven;  
bákteláhka	1. bergverkslov;  
ozovuoigatvuođabákteláhka	1. leterettighetsbergloven;  
sálteláhka	1. saltlov;  
janteláhka	1. jantelov;  
nuohtteláhka	1. notlag;  
miellabuohcciláhka	1. medpasientsloven;  
sámiláhka	1. samelov;  
minerálláhka	1. minerallov;  
olgolihkadanláhka	1. utfersloven;  
nuoskkidanláhka	1. forurensningslov;  
hálddahusmeannudanláhka	1. saksbehandlingsloven;  
gádderievdanláhka	1. strandingslov;  
diggelogahanláhka	1. tinglysningslov;  
bággočađahanláhka	1. tvangsfullbyrdelsesloven;  
lihttoláigohanláhka	1. forpaktningslov;  
suohkanláhka	1. fylkeslov;  
bargosuodjalanláhka	1. arbeidsmiljøloven;  
luonddusuodjalanláhka	1. naturvernloven;  
logahallanláhka	1. registreringslov;  
biebmanláhka	1. oppdrettslov;  
eananláhka	1. jordlov;  
bearranláhka	1. rekvireringslov;  
bággolonistanláhka	1. oreigningslov;  
meahcástanláhka	1. skogsdriftsloven;  
vuollástanláhka	1. okkupansjonsloven;  
áhpenuohtástanláhka	1. trålerlova;  
ráŋggáštanláhka	1. straffeloven;  
searvanláhka	1. deltagerlov;  
hálddašanláhka	1. forvaltningslov;  
ovttaseaiggáduššanláhka	1. sameielov;  
muddenláhka	1. justeringslov;  
huksenláhka	1. byggelov;  
eanavuovdinláhka	1. jordsalgsloven;  
eananvuovdinláhka	1. jordsalgsloven;  
eananjuohkinláhka	1. delingslov;  
opmodatjuohkinláhka	1. skifteloven;  
olgunastinláhka	1. friluftslov;  
oastinláhka	1. kjøpsloven;  
vealggásoastinláhka	1. kredittkjøpsloven;  
šaddonálaštuhttinláhka	1. planteforedlingsloven;  
njađđinláhka	1. grunnlov;  
lavdnjeloggunláhka	1. torvskurlov;  
molsunláhka	1. skifteloven;  
mielladearvvašvuođadikšunláhka	1. medpasienthelseloven;  
soahteváddoláhka	1. krigsskadelov;  
bivdoláhka	1. jaktlov;  
sáivabivdoláhka	1. ferskvannsfiskeloven;  
nággoláhka	1. tvistemålslov;  
tomtaláigoláhka	1. tomtleieloven;  
viessosadjeláigoláhka	1. tomtefestelov;  
viessoláigoláhka	1. husleieloven;  
álbmotoadjoláhka	1. folketrygdloven;  
vearrodahkoláhka	1. kriminallov;  
girkoláhka	1. kirkeloven;  
finnmárkoláhka	1. finnmarksloven;  
vuovdedoalloláhka	1. skogbruksloven;  
boazodoalloláhka	1. rennæringslov;  
rehketdoalloláhka	1. regnskapslov;  
duopmostuolloláhka	1. domstolloven;  
olgoáibmoláhka	1. friluftsloven;  
luopmoláhka	1. ferielov;  
geaidnoláhka	1. veilov;  
oahppoláhka	1. undervisningsloven;  
vearroláhka	1. skatteloven;  
kulturmuitoláhka	1. kulturminneloven;  
dásseárvoláhka	1. likestillingslov, lov om likestilling;  
riektedikšoláhka	1. rettspleieloven;  
fuođđoláhka	1. viltlov;  
vuođđoláhka	1. grunnloven;  
toppláhka	1. topplov;  
dearvvašvuođaregisttarláhka	1. helseregisterloven;  
bargobirasláhka	1. arbeidsmiljøloven;  
odelsláhka	1. odelslov;  
náittosláhka	1. ekteskapslov;  
fápmudusláhka	1. fullmaktslov;  
biilaovddasvástádusláhka	1. bilansvarsloven;  
vuoigŋadagusláhka	1. åndsverksloven;  
hálddahusláhka	1. administrasjonsloven;  
oahpahusláhka	1. undervisningsloven;  
fidnofágaoahpahusláhka	1. lov om fagopplæring i arbeidslivet;  
joatkkaoahpahusláhka	1. lov om videregående opplæring;  
rávesolbmuidoahpahusláhka	1. voksenopplæringsloven;  
mánáidsuodjalusláhka	1. barnevernloven;  
mohtorjohtalusláhka	1. motorferdselsloven;  
gielddadearvvašvuođabálvalusláhka	1. kommunehelsetjenesteloven;  
spesialistadearvvašvuođabálvalusláhka	1. spesialisthelsetjenesteloven;  
sosiálbálvalusláhka	1. sosialtjenesteloven;  
cosinusláhka	1. cosinusloven;  
oasusláhka	1. aksjelov;  
eanadatláhka	1. landskapslov;  
jietnadatláhka	1. stemmegiverloven;  
luoddajohtolatláhka	1. vegtrafikkloven;  
meahccejohtolatláhka	1. skogsferdselsloven;  
mohtorjohtolatláhka	1. motorferdselsloven;  
luondduláhka	1. naturlov;  
guimmešláhka	1. partnerskapslov;  
guhtamáhka	1. fiskepølse;  
ovdasáhka	1. foredrag;  
álggahanovdasáhka	1. innledningsforedrag;  
váldoovdasáhka	1. hovedforedrag;  
jápmasáhka	1. dødsbudskap;  
duohtasáhka	1. sannhetsord;  
váldosáhka	1. hovedsak;  2. overskrift;  
vuođđosáhka	1. hovedtale;  
illusáhka	1. gladsak;  2. gladtale;  
morašsáhka	1. sørgesak;  2. sørgetale;  
táhka	1. tak;  2. grep;  
beaika	1. bøk;  
báddeleaika	1. hyssinglek;  2. båndlek;  
streaika	1. streik;  
steaika	1. stek;  
veaika	1. veke;  
ginttalveaika	1. lysestakeveike;  2. lyseveike;  
greika	1. greker;  
piika	1. jenta;  
soabbepiika	1. ispigg;  
guollepiika	1. fiskepik;  
gáibideaddjeriika	1. pretensjonsmakt;  
industririika	1. industriland;  
doalloriika	1. vertsland;  
stiika	1. stikke;  
paprika	1. paprika;  
njáika	1. framspring;  2. snipp;  3. stump;  
čiekka	1. tørt og hardt bein;  
deahkka	1. dekk;  
biikadeahkka	1. piggdekk;  
radiáladeahkka	1. radialdekk;  
geassedeahkka	1. sommerdekk;  
dálvedeahkka	1. vinterdekk;  
orustandeahkka	1. parkeringsdekk;  
jeahkka	1. jekk;  
leahkka	1. lekk;  
bleahkka	1. blekk;  
pleahkka	1. blekk;  
treahkka	1. trekk;  
bieggaseahkka	1. svømmeblære;  
lávkaseahkka	1. ryggsekk;  
ruhtaseahkka	1. pengesekk;  
dovttaseahkka	1. lomskinnsekk;  2. sekk av lomskinn;  
gáfeseahkka	1. kaffepose;  
káfeseahkka	1. kaffepose;  
